occupationUri,occupationLabel,label,skills_essential,skills_optional,skills_unknown,n_total
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,Network,"[""réseaux neuronaux artificiels""]",[],[],1
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,Software,"[""Python (programmation informatique)"", ""algorithmes"", ""algorithmisation des tâches"", ""appliquer la théorie des systèmes d’information et de communication"", ""architecture de l’information"", ""catégorisation de l’information"", ""créer des ensembles de données"", ""cycle de développement logiciel"", ""données non structurées"", ""définir les prescriptions techniques"", ""développer des idées créatives"", ""développer des logiciels de statistique"", ""exploration de données"", ""extraction de l’information"", ""fournir une présentation visuelle des données"", ""langage de requête Cadre de Description des Ressources"", ""modélisation de processus d’entreprise"", ""principes de l’intelligence artificielle"", ""processus de conception"", ""programmation informatique"", ""science des mégadonnées"", ""simulation sur ordinateur"", ""structure de l’information"", ""techniques de présentation visuelle"", ""traitement de données numériques"", ""utiliser des techniques de traitement des données"", ""utiliser des technologies numériques de façon créative""]","[""Assembly (programmation informatique)"", ""C#"", ""C++"", ""COBOL"", ""CoffeeScript"", ""Common Lisp"", ""Erlang"", ""Groovy"", ""Haskell"", ""Java (programmation informatique)"", ""JavaScript"", ""LINQ"", ""Lisp"", ""MATLAB"", ""Microsoft Visual C++"", ""N1QL"", ""Objective-C"", ""OpenEdge Advanced Business Language"", ""PHP"", ""Pascal (programmation informatique)"", ""Perl"", ""Prolog (programmation informatique)"", ""R"", ""Ruby (programmation informatique)"", ""SAP R3"", ""SAS language"", ""SPARQL"", ""Scala"", ""Scratch (programmation informatique)"", ""Smalltalk (programmation informatique)"", ""Swift (programmation informatique)"", ""TypeScript"", ""VBScript"", ""Visual Basic"", ""appliquer la pensée systémique de conception"", ""concevoir des interfaces d’application"", ""concevoir un schéma de base de données"", ""construire des systèmes de recommandation"", ""effectuer une réduction des dimensions"", ""gestion de projets allégée"", ""gestion de projets par méthode Agile"", ""gérer la classification des données sur les TIC"", ""gérer les connaissances du marché"", ""gérer l’intégration sémantique des TIC"", ""identifier des processus de restructuration"", ""informatique décisionnelle"", ""méthode de gestion de projets procédurale"", ""méthodes de gestion de projets TIC"", ""outils de développement de bases de données"", ""recherche opérationnelle"", ""vision par ordinateur"", ""établir des relations d'affaires"", ""évaluer les connaissances en TIC""]",[],80
http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,ingénieur en mégadonnées/ingénieure en mégadonnées,AI/ML,"[""modèles de données"", ""technologies de dématérialisation""]","[""créer des modèles de données""]",[],3
http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,ingénieur en mégadonnées/ingénieure en mégadonnées,Data,"[""analyse de données""]","[""SAS Data Management"", ""Teradata Database"", ""analyser les données de la base de données sur les canalisations de transport""]",[],4
http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,ingénieur en mégadonnées/ingénieure en mégadonnées,Software,"[""concevoir une base de données dans le nuage"", ""créer des ensembles de données"", ""créer des traitements de données"", ""données non structurées"", ""développer des applications de traitement des données"", ""effectuer une réduction des dimensions"", ""entrepôt de données"", ""gérer des données de recherche"", ""gérer des données quantitatives"", ""gérer les données"", ""gérer l’architecture des données TIC"", ""informatique"", ""mettre en œuvre les techniques de stockage des données"", ""stockage de données"", ""stocker des données et des systèmes numériques"", ""systèmes de gestion de base de données"", ""traitement de données numériques"", ""traiter des données"", ""utiliser des bases de données"", ""utiliser des techniques de traitement des données""]","[""statistiques""]",[],21
http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da,ingénieur en sécurité des systèmes intégrés/ingénieure en sécurité des systèmes intégrés,AI/ML,"[""déterminer les faiblesses d’un système TIC""]","[""technologies de dématérialisation""]",[],2
http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da,ingénieur en sécurité des systèmes intégrés/ingénieure en sécurité des systèmes intégrés,Data,"[""analyser un système de TIC"", ""effectuer une analyse de risque"", ""utiliser des bibliothèques logicielles""]",[],[],3
http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da,ingénieur en sécurité des systèmes intégrés/ingénieure en sécurité des systèmes intégrés,Security,"[""Internet des objets"", ""anomalies logicielles"", ""contrôler la performance du système"", ""créer un organigramme de programmation"", ""définir les politiques de sécurité"", ""définir les prescriptions techniques"", ""développer un pilote d’appareil TIC"", ""développer un prototype de logiciel"", ""effectuer des tests de sécurité des TIC"", ""exécuter des tests de logiciel"", ""fournir des conseils en TIC"", ""gérer la conformité en matière de sécurité des TIC"", ""identifier les risques de sécurité des TIC"", ""ingénierie de la sécurité"", ""ingénierie de sécurité"", ""interpréter des textes techniques"", ""mesures de lutte contre les cyberattaques"", ""normes de sécurité des TIC"", ""programmation informatique"", ""risques de sécurité des réseaux de TIC"", ""rédiger les conclusions d’un test"", ""stratégie de sécurité de l’information"", ""suivre les évolutions en matière de solutions de systèmes d’information"", ""systèmes embarqués"", ""systèmes numériques"", ""utiliser des outils de génie logiciel assisté par ordinateur"", ""utiliser des patrons de conception""]","[""assurer la gestion de projets"", ""concevoir une interface utilisateur"", ""cryptage dans le domaine des TIC"", ""déboguer un logiciel"", ""développer des idées créatives"", ""intégrer les composants d’un système"", ""principes du piratage éthique"", ""résilience organisationnelle"", ""sécurité des TIC""]",[],36
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,AI/ML,"[""apprentissage automatique"", ""mener des recherches documentaires""]","[""apprentissage profond"", ""créer des modèles de données"", ""mener des recherches qualitatives"", ""mener des recherches quantitatives"", ""mener des recherches universitaires""]",[],7
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,Data,"[""appliquer des techniques d’analyse statistique"", ""communiquer les résultats d’analyse"", ""utiliser des bibliothèques logicielles""]",[],[],3
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,QA/Test,"[""mettre en œuvre des processus de qualité des données""]","[""définir les critères de qualité des données""]",[],2
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,Software,"[""Python (programmation informatique)"", ""créer des traitements de données"", ""définir les prescriptions techniques"", ""développer des applications de traitement des données"", ""développer un prototype de logiciel"", ""effectuer un nettoyage de données"", ""effectuer une réduction des dimensions"", ""environnement de développement intégré"", ""exécuter des calculs mathématiques et analytiques"", ""fournir une présentation visuelle des données"", ""gérer des systèmes de collecte de données"", ""informatique scientifique"", ""ingénierie en mégadonnées"", ""interpréter des données actuelles"", ""mettre au point un système de vision par ordinateur"", ""normaliser les données"", ""principes de l’intelligence artificielle"", ""programmation informatique"", ""reconnaissance d’images"", ""science des mégadonnées"", ""simulation sur ordinateur"", ""statistiques"", ""technologie du jumeau numérique"", ""traitement numérique d’images"", ""traiter des échantillons de données"", ""utiliser des outils de génie logiciel assisté par ordinateur""]","[""concevoir une interface utilisateur"", ""déboguer un logiciel"", ""estimation de l’état"", ""formation d’images"", ""infographie"", ""informatique cognitive"", ""informatique quantique"", ""langage de requête Cadre de Description des Ressources"", ""langages de requête"", ""modélisation mathématique"", ""procéder à l’extraction de données"", ""systèmes numériques"", ""traitement du signal"", ""utiliser des langages de balisage""]",[],40
